,pass_inc,pass_td_lng,fum,rush_yd,pass_td,rush_rz_att,pass_yd,pass_fd,pass_cmp_40p,cmp_pct,pass_cmp,off_snp,pass_sack,gs,pass_td_50p,bonus_pass_yd_300,pass_rz_att,rush_att,pass_att,rush_fd,bonus_pass_cmp_25,pass_rtg,pass_td_40p,pass_lng,rush_td,pass_sack_yds,penalty,bonus_pass_yd_400,gp,pass_air_yd,pass_int,rush_lng,calculated_fpts,fum_lost,pass_2pt,bonus_fd_qb,pass_rush_yd
1,148.0,333.0,13.0,423.0,24.0,23.0,3787.0,148.0,9.0,977.03,333.0,863.0,31.0,14.0,1.0,2.0,72.0,88.0,481.0,20.0,6.0,1442.8,3.0,569.0,5.0,286.0,2.0,1.0,14.0,1987.0,10.0,195.0,432.8966633051634,0.0,0.0,0.0,0.0
2,3.0,0.0,0.0,-1.0,0.0,0.0,5.0,0.0,0.0,50.0,1.0,24.0,1.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,56.3,0.0,5.0,0.0,8.0,0.0,0.0,3.0,-2.0,1.0,0.0,-5.616666671137015,0.0,0.0,0.0,0.0
3,4.0,0.0,0.0,-7.0,0.0,3.0,67.0,4.0,0.0,266.67,7.0,35.0,1.0,0.0,0.0,0.0,1.0,9.0,11.0,0.0,0.0,366.1,0.0,46.0,0.0,10.0,0.0,0.0,6.0,28.0,0.0,-3.0,4.713333273430665,0.0,0.0,0.0,0.0
4,169.0,283.0,7.0,129.0,22.0,7.0,3801.0,155.0,6.0,1164.18,352.0,1002.0,28.0,17.0,1.0,2.0,71.0,44.0,521.0,22.0,4.0,1601.0,2.0,561.0,0.0,241.0,2.0,0.0,17.0,2030.0,13.0,81.0,344.6399966016412,3.0,2.0,0.0,0.0
5,10.0,6.0,0.0,0.0,1.0,0.0,147.0,8.0,0.0,66.67,20.0,56.0,0.0,1.0,0.0,0.0,3.0,0.0,30.0,0.0,0.0,89.2,0.0,25.0,0.0,0.0,0.0,0.0,1.0,76.0,0.0,0.0,16.87999986857176,0.0,0.0,0.0,0.0
6,1.0,0.0,1.0,87.0,0.0,5.0,4.0,0.0,0.0,100.0,1.0,17.0,0.0,0.0,0.0,0.0,1.0,13.0,2.0,5.0,0.0,122.9,0.0,4.0,1.0,0.0,0.0,0.0,10.0,-4.0,0.0,71.0,18.959999996423722,0.0,0.0,0.0,0.0
7,23.0,9.0,1.0,53.0,1.0,1.0,277.0,15.0,0.0,122.5,35.0,97.0,0.0,1.0,0.0,0.0,11.0,5.0,58.0,3.0,1.0,143.0,0.0,48.0,0.0,0.0,0.0,0.0,2.0,156.0,1.0,43.0,24.113333085676032,0.0,0.0,0.0,0.0
8,84.0,32.0,6.0,70.0,5.0,3.0,1283.0,64.0,2.0,469.51,141.0,376.0,19.0,5.0,0.0,0.0,22.0,19.0,225.0,8.0,3.0,590.7,0.0,219.0,1.0,132.0,1.0,0.0,11.0,775.0,4.0,46.0,84.48666551957528,3.0,1.0,0.0,0.0
9,3.0,0.0,1.0,2.0,0.0,1.0,13.0,0.0,0.0,50.0,3.0,16.0,1.0,1.0,0.0,0.0,0.0,1.0,6.0,0.0,0.0,56.3,0.0,6.0,0.0,2.0,0.0,0.0,1.0,7.0,0.0,2.0,-1.8466666782895724,0.0,0.0,0.0,0.0
10,33.0,22.0,2.0,65.0,1.0,0.0,210.0,9.0,0.0,133.68,27.0,53.0,6.0,2.0,0.0,0.0,5.0,8.0,60.0,4.0,0.0,131.8,0.0,66.0,0.0,33.0,0.0,0.0,3.0,106.0,3.0,33.0,-9.016666854421299,1.0,0.0,0.0,0.0
11,215.0,256.0,11.0,5.0,22.0,5.0,3740.0,166.0,9.0,1031.46,390.0,1000.0,38.0,16.0,1.0,2.0,87.0,20.0,605.0,2.0,7.0,1423.1,2.0,561.0,1.0,239.0,0.0,0.0,16.0,1809.0,10.0,16.0,290.4333299895128,5.0,2.0,0.0,0.0
12,3.0,0.0,1.0,6.0,0.0,0.0,36.0,1.0,0.0,66.67,6.0,24.0,2.0,0.0,0.0,0.0,1.0,3.0,9.0,0.0,0.0,74.3,0.0,17.0,0.0,17.0,0.0,0.0,2.0,14.0,0.0,6.0,1.0899999678134917,0.0,0.0,0.0,0.0
13,236.0,284.0,8.0,763.0,36.0,30.0,4407.0,198.0,8.0,1070.06,409.0,1084.0,26.0,17.0,1.0,6.0,122.0,122.0,645.0,48.0,7.0,1568.7,1.0,562.0,6.0,164.0,2.0,0.0,17.0,2669.0,15.0,298.0,556.3966627265016,3.0,1.0,0.0,0.0
14,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,66.67,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,70.1,0.0,6.0,0.0,0.0,0.0,0.0,1.0,-4.0,0.0,0.0,0.6999999955296516,0.0,0.0,0.0,0.0
15,44.0,41.0,0.0,-1.0,5.0,0.0,953.0,43.0,0.0,262.91,88.0,211.0,4.0,3.0,0.0,0.0,9.0,5.0,132.0,2.0,1.0,327.5,0.0,102.0,0.0,18.0,0.0,1.0,4.0,387.0,8.0,2.0,67.30333248128494,0.0,0.0,0.0,0.0
16,19.0,72.0,1.0,21.0,4.0,0.0,439.0,20.0,0.0,237.58,41.0,166.0,5.0,2.0,0.0,0.0,6.0,9.0,60.0,2.0,0.0,304.4,0.0,81.0,0.0,31.0,0.0,0.0,4.0,166.0,1.0,13.0,49.95999960750341,0.0,0.0,0.0,0.0
17,77.0,30.0,6.0,33.0,4.0,1.0,790.0,39.0,1.0,316.98,90.0,315.0,9.0,4.0,0.0,0.0,14.0,7.0,167.0,1.0,0.0,288.4,0.0,154.0,1.0,68.0,1.0,0.0,6.0,383.0,10.0,29.0,2.0499992936849623,3.0,0.0,0.0,0.0
18,194.0,369.0,8.0,215.0,27.0,9.0,3563.0,138.0,9.0,1052.39,322.0,1035.0,32.0,17.0,3.0,1.0,67.0,57.0,516.0,20.0,4.0,1617.8,5.0,673.0,1.0,227.0,1.0,1.0,17.0,1908.0,7.0,146.0,342.60333014776313,5.0,2.0,0.0,0.0
19,11.0,0.0,1.0,0.0,0.0,0.0,194.0,8.0,1.0,64.52,20.0,55.0,2.0,1.0,0.0,0.0,3.0,0.0,31.0,0.0,0.0,81.9,0.0,46.0,0.0,20.0,0.0,0.0,1.0,97.0,0.0,0.0,9.759999826550484,0.0,0.0,0.0,0.0
20,8.0,0.0,0.0,6.0,0.0,0.0,135.0,5.0,1.0,60.0,12.0,50.0,8.0,1.0,0.0,0.0,0.0,3.0,20.0,1.0,0.0,40.6,0.0,56.0,0.0,54.0,0.0,0.0,1.0,54.0,2.0,3.0,-5.450000120699405,0.0,0.0,0.0,0.0
21,80.0,74.0,3.0,20.0,11.0,2.0,1154.0,50.0,1.0,345.65,108.0,313.0,9.0,4.0,0.0,0.0,35.0,9.0,188.0,1.0,1.0,539.0,0.0,172.0,1.0,64.0,0.0,0.0,6.0,652.0,3.0,22.0,99.74333230157693,1.0,0.0,0.0,0.0
22,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,6.0,-1.35,0.0,0.0,0.0,0.0
23,7.0,0.0,1.0,11.0,1.0,1.0,120.0,5.0,0.0,124.44,12.0,37.0,2.0,0.0,1.0,0.0,2.0,2.0,19.0,1.0,0.0,191.6,1.0,38.0,0.0,5.0,0.0,0.0,2.0,74.0,0.0,11.0,9.033333226044974,1.0,0.0,0.0,0.0
24,141.0,176.0,1.0,106.0,18.0,10.0,3052.0,128.0,5.0,923.0,285.0,844.0,31.0,14.0,0.0,2.0,53.0,30.0,426.0,14.0,3.0,1336.4,1.0,503.0,2.0,211.0,3.0,0.0,14.0,1658.0,7.0,71.0,293.396663937966,1.0,1.0,0.0,0.0
25,11.0,15.0,1.0,8.0,1.0,2.0,250.0,13.0,0.0,68.57,24.0,74.0,4.0,1.0,0.0,0.0,6.0,4.0,35.0,1.0,0.0,98.5,0.0,30.0,0.0,21.0,0.0,0.0,1.0,85.0,0.0,8.0,22.533333109815914,0.0,1.0,0.0,0.0
26,14.0,14.0,0.0,14.0,1.0,0.0,189.0,7.0,0.0,61.11,22.0,51.0,2.0,1.0,0.0,0.0,1.0,2.0,36.0,2.0,0.0,84.1,0.0,30.0,0.0,15.0,0.0,0.0,1.0,95.0,0.0,11.0,17.493333164354166,0.0,0.0,0.0,0.0
27,30.0,5.0,3.0,13.0,1.0,0.0,362.0,18.0,0.0,197.29,36.0,126.0,7.0,1.0,0.0,0.0,6.0,7.0,66.0,2.0,0.0,257.3,0.0,79.0,0.0,47.0,0.0,0.0,6.0,225.0,3.0,17.0,2.096666343013446,1.0,1.0,0.0,0.0
28,141.0,375.0,6.0,183.0,25.0,7.0,3113.0,110.0,10.0,910.34,259.0,730.0,33.0,14.0,4.0,1.0,45.0,43.0,400.0,15.0,1.0,1450.2,6.0,628.0,2.0,266.0,0.0,0.0,14.0,1728.0,6.0,127.0,329.7199972167611,1.0,1.0,0.0,0.0
29,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.6333333333333333,0.0,0.0,0.0,0.0
30,66.0,182.0,2.0,166.0,14.0,4.0,1170.0,42.0,4.0,420.11,95.0,371.0,11.0,7.0,2.0,0.0,21.0,32.0,161.0,16.0,0.0,687.9,3.0,278.0,1.0,69.0,1.0,0.0,7.0,589.0,3.0,80.0,156.11666562060515,1.0,0.0,0.0,0.0
